id,city
470_20120403,NY
979_20120403,NY
69_20120403,NY
395_20120403,NY
87_20120403,NY
484_20120403,NY
642_20120403,NY
292_20120403,NY
428_20120403,NY
877_20120403,NY
87_20120403,NY
625_20120403,NY
691_20120403,NY
116_20120403,NY
931_20120403,NY
53_20120403,NY
445_20120403,NY
135_20120403,NY
895_20120403,NY
704_20120403,NY
891_20120403,NY
284_20120403,NY
901_20120403,NY
803_20120403,NY
699_20120403,NY
100_20120403,NY
642_20120403,NY
443_20120403,NY
689_20120403,NY
390_20120403,NY
32_20120403,NY
230_20120403,NY
445_20120403,NY
834_20120403,NY
962_20120403,NY
1032_20120403,NY
525_20120403,NY
525_20120403,NY
962_20120403,NY
318_20120403,NY
1047_20120403,NY
738_20120403,NY
364_20120403,NY
398_20120403,NY
839_20120403,NY
424_20120403,NY
751_20120403,NY
1047_20120403,NY
889_20120403,NY
612_20120403,NY
643_20120403,NY
643_20120403,NY
1032_20120403,NY
718_20120403,NY
768_20120403,NY
15_20120403,NY
768_20120403,NY
458_20120403,NY
877_20120403,NY
280_20120403,NY
318_20120403,NY
839_20120403,NY
1016_20120403,NY
281_20120403,NY
366_20120403,NY
276_20120403,NY
135_20120403,NY
227_20120403,NY
612_20120403,NY
458_20120403,NY
80_20120403,NY
445_20120403,NY
673_20120403,NY
318_20120403,NY
337_20120403,NY
916_20120403,NY
639_20120403,NY
752_20120403,NY
713_20120403,NY
449_20120403,NY
1016_20120403,NY
803_20120403,NY
895_20120403,NY
1012_20120403,NY
749_20120403,NY
916_20120403,NY
438_20120403,NY
217_20120403,NY
656_20120403,NY
225_20120403,NY
628_20120403,NY
225_20120403,NY
504_20120403,NY
226_20120403,NY
164_20120403,NY
445_20120403,NY
235_20120403,NY
118_20120403,NY
1054_20120403,NY
881_20120403,NY
713_20120403,NY
706_20120403,NY
706_20120403,NY
673_20120403,NY
143_20120403,NY
1005_20120403,NY
706_20120403,NY
706_20120403,NY
912_20120403,NY
537_20120403,NY
406_20120403,NY
868_20120403,NY
1055_20120403,NY
751_20120403,NY
907_20120403,NY
303_20120403,NY
445_20120403,NY
793_20120403,NY
784_20120403,NY
793_20120403,NY
734_20120403,NY
540_20120403,NY
816_20120403,NY
623_20120403,NY
950_20120403,NY
294_20120403,NY
950_20120403,NY
1055_20120403,NY
615_20120403,NY
385_20120403,NY
615_20120403,NY
950_20120403,NY
950_20120403,NY
173_20120403,NY
292_20120403,NY
801_20120403,NY
16_20120403,NY
69_20120403,NY
467_20120403,NY
7_20120403,NY
592_20120403,NY
669_20120403,NY
574_20120403,NY
443_20120403,NY
436_20120403,NY
636_20120403,NY
865_20120403,NY
225_20120403,NY
621_20120403,NY
272_20120403,NY
1063_20120403,NY
591_20120403,NY
976_20120403,NY
562_20120403,NY
783_20120403,NY
319_20120403,NY
468_20120403,NY
874_20120403,NY
107_20120403,NY
281_20120403,NY
667_20120403,NY
718_20120403,NY
557_20120403,NY
725_20120403,NY
774_20120403,NY
976_20120403,NY
880_20120403,NY
1055_20120403,NY
288_20120403,NY
335_20120403,NY
335_20120403,NY
769_20120403,NY
562_20120403,NY
1063_20120403,NY
194_20120403,NY
100_20120403,NY
403_20120403,NY
573_20120403,NY
445_20120403,NY
834_20120403,NY
346_20120403,NY
1012_20120403,NY
968_20120403,NY
539_20120403,NY
976_20120403,NY
184_20120403,NY
184_20120403,NY
144_20120403,NY
865_20120403,NY
562_20120403,NY
734_20120403,NY
71_20120403,NY
688_20120403,NY
65_20120403,NY
885_20120403,NY
885_20120403,NY
592_20120403,NY
267_20120403,NY
976_20120403,NY
267_20120403,NY
880_20120403,NY
592_20120403,NY
267_20120403,NY
615_20120403,NY
877_20120403,NY
820_20120403,NY
820_20120403,NY
445_20120403,NY
516_20120403,NY
281_20120403,NY
176_20120403,NY
528_20120403,NY
592_20120403,NY
30_20120403,NY
1063_20120403,NY
246_20120403,NY
669_20120403,NY
246_20120403,NY
515_20120403,NY
458_20120403,NY
615_20120403,NY
710_20120403,NY
768_20120403,NY
145_20120403,NY
498_20120403,NY
894_20120403,NY
557_20120403,NY
1063_20120403,NY
528_20120403,NY
313_20120403,NY
120_20120403,NY
976_20120403,NY
798_20120403,NY
798_20120403,NY
598_20120403,NY
1078_20120403,NY
195_20120403,NY
623_20120403,NY
59_20120403,NY
662_20120403,NY
425_20120403,NY
662_20120403,NY
592_20120403,NY
691_20120403,NY
756_20120403,NY
100_20120403,NY
667_20120403,NY
107_20120403,NY
615_20120403,NY
615_20120403,NY
318_20120403,NY
107_20120403,NY
669_20120403,NY
553_20120403,NY
498_20120403,NY
768_20120403,NY
702_20120403,NY
768_20120403,NY
702_20120403,NY
768_20120403,NY
